state,UID,STATEID,latitude,longitude,pop,rent_mean,rent_stdev,hi_mean,hc_mortgage_mean,hc_mean,second_mortgage,home_equity,debt,hs_degree,male_age_mean,female_age_mean,pct_own,married,separated,divorced
Missouri,257873.40192043895,29.0,38.474196953086334,-92.30520523648835,4236.652949245542,826.9026156790117,315.0140487791496,61644.8042551166,1272.4948543347045,444.42888009602154,0.02494775034293553,0.07835230452674892,0.6101985733882032,0.8691780384087795,38.18048334705079,40.35630801097392,0.6627008093278466,0.5093948696844992,0.0178929218106996,0.11399803840877924
Montana,259370.46875,30.0,46.8387230225,-110.84039050750009,3530.38125,751.7761653124998,341.0417013124999,60219.68063600002,1313.2425774375004,420.17587806250015,0.020755375000000006,0.06171168749999999,0.5188360000000003,0.9176503125000005,40.37625768749998,41.563496437500014,0.6863523750000002,0.5443496874999997,0.011604375,0.11448949999999998
Nebraska,262181.29411764705,31.0,41.19901474191177,-97.3138418915441,3552.6838235294117,830.3679333823535,336.9548726102941,68193.7793804044,1336.5343686029407,520.3534713970591,0.028986580882352942,0.08151382352941174,0.6105890441176465,0.9045232720588237,37.722716323529404,39.43948551470587,0.6834025367647061,0.5531634926470583,0.01069029411764706,0.09602867647058823
Nevada,265583.0830945559,32.0,37.033998572779375,-116.1965991699139,4149.469914040114,1139.353696017191,370.3765491117477,67970.61972684808,1520.1332727793692,454.1077596848137,0.035344527220630376,0.09714618911174788,0.6728105444126076,0.8388896561604583,38.13586000000001,39.07238421203436,0.5459892836676216,0.4805212893982815,0.02082828080229227,0.12910312320916909
New Hampshire,262586.53503184713,33.0,43.186204353503165,-71.47661721528661,4426.490445859873,1096.8367691082804,418.1360221656048,82061.0898293631,1916.7765977070067,778.1679855414012,0.027401847133757956,0.1299250318471337,0.6701578980891719,0.9100034394904455,40.09269847133758,41.806772101910816,0.7102568789808918,0.5388338853503185,0.009848407643312105,0.11153401273885345
New Jersey,263722.79241516965,34.0,40.403851968363284,-74.44203684520961,4467.4011976047905,1380.6001654890224,495.56972268463034,91355.24126335331,2401.7849933832363,980.4231820558874,0.02738167664670658,0.12344480039920154,0.6845557185628741,0.8792899700598797,38.681825508982016,40.911566756487005,0.6498828343313376,0.5248698902195603,0.016743842315369264,0.06966033932135722
New Mexico,264993.7421602787,35.0,34.542120587108016,-106.24604439616728,4192.08362369338,872.7725960975611,339.3731397560977,61163.333599407655,1288.238652090591,368.9815955052263,0.02368850174216029,0.05698066202090593,0.5471231707317072,0.8385952613240418,38.75755188153306,40.35117271777004,0.6872754355400694,0.48846794425087053,0.014988432055749115,0.11806512195121951
New York,268380.69976171566,36.0,41.49805246787141,-74.65525134185862,4069.486894360604,1241.6232158379655,475.165298764893,77809.81174214037,2146.187362311358,755.8848682486114,0.021058149324861025,0.09865428911834796,0.6076184829229554,0.8419726886417787,37.878942680699,40.12340424940431,0.5572593685464646,0.4840949404289125,0.02166871326449569,0.07285999205718842
North Carolina,260575.8407917384,37.0,35.54690711600692,-79.73509588055087,4449.820137693631,873.8368124010326,329.0676026850256,62874.332761712605,1345.8316974698807,424.87889436316675,0.027164922547332212,0.11503004302925998,0.6386913339070559,0.8497330722891554,38.15298731497422,40.36689203098105,0.6450287521514634,0.5393901204819278,0.027818149741824443,0.09539996557659221
North Dakota,261807.63636363635,38.0,47.45634242636363,-99.47173355727271,3352.918181818182,753.6154895454545,355.34819318181815,69608.64014009087,1216.8165535454539,433.4252755454546,0.017481999999999998,0.056735999999999995,0.47380072727272715,0.9063650909090909,38.470019363636375,40.35234545454547,0.6837762727272726,0.5199742727272728,0.008519363636363636,0.09471500000000001
